,"Pred 0
(airplane)","Pred 1
(automobile)","Pred 2
(bird)","Pred 3
(cat)","Pred 4
(deer)","Pred 5
(dog)","Pred 6
(frog)","Pred 7
(horse)","Pred 8
(ship)","Pred 9
(truck)"
"Act 0
(airplane)",76,0,4,2,1,0,1,2,10,4
"Act 1
(automobile)",2,89,0,2,1,0,1,0,1,4
"Act 2
(bird)",7,0,74,5,4,4,6,0,0,0
"Act 3
(cat)",1,0,2,70,2,14,7,3,1,0
"Act 4
(deer)",2,0,1,8,76,3,2,7,1,0
"Act 5
(dog)",0,0,4,10,1,80,2,2,1,0
"Act 6
(frog)",0,0,3,2,2,3,87,2,1,0
"Act 7
(horse)",2,0,1,3,6,4,0,83,0,1
"Act 8
(ship)",6,1,1,0,0,0,0,0,90,2
"Act 9
(truck)",2,3,0,2,0,1,0,0,3,89
