,"Pred 0
(airplane)","Pred 1
(automobile)","Pred 2
(bird)","Pred 3
(cat)","Pred 4
(deer)","Pred 5
(dog)","Pred 6
(frog)","Pred 7
(horse)","Pred 8
(ship)","Pred 9
(truck)"
"Act 0
(airplane)",52,4,12,1,3,2,3,0,17,6
"Act 1
(automobile)",6,72,0,3,0,1,1,0,5,12
"Act 2
(bird)",3,0,43,9,13,11,16,2,3,0
"Act 3
(cat)",1,1,5,51,5,19,9,8,0,1
"Act 4
(deer)",7,0,11,8,50,5,3,14,0,2
"Act 5
(dog)",0,0,9,15,3,56,8,6,3,0
"Act 6
(frog)",2,0,8,6,8,2,72,2,0,0
"Act 7
(horse)",1,1,4,9,12,11,1,58,2,1
"Act 8
(ship)",21,5,3,0,0,0,1,2,61,7
"Act 9
(truck)",5,13,0,4,1,0,1,1,6,69
