,"Pred 0
(airplane)","Pred 1
(automobile)","Pred 2
(bird)","Pred 3
(cat)","Pred 4
(deer)","Pred 5
(dog)","Pred 6
(frog)","Pred 7
(horse)","Pred 8
(ship)","Pred 9
(truck)"
"Act 0
(airplane)",81,1,3,2,1,0,0,1,8,3
"Act 1
(automobile)",3,91,0,1,0,0,0,0,1,4
"Act 2
(bird)",6,0,74,3,5,4,7,1,0,0
"Act 3
(cat)",1,0,2,76,3,11,6,1,0,0
"Act 4
(deer)",2,0,3,5,79,3,2,4,1,1
"Act 5
(dog)",0,0,4,13,1,75,2,4,1,0
"Act 6
(frog)",1,1,1,2,2,2,88,2,1,0
"Act 7
(horse)",0,0,1,3,6,3,0,87,0,0
"Act 8
(ship)",5,1,1,1,0,0,0,0,91,1
"Act 9
(truck)",2,2,0,2,0,0,0,0,3,91
