,"Pred 0
(airplane)","Pred 1
(automobile)","Pred 2
(bird)","Pred 3
(cat)","Pred 4
(deer)","Pred 5
(dog)","Pred 6
(frog)","Pred 7
(horse)","Pred 8
(ship)","Pred 9
(truck)"
"Act 0
(airplane)",81,0,5,2,1,0,1,0,7,3
"Act 1
(automobile)",3,91,0,1,0,0,0,0,2,3
"Act 2
(bird)",3,0,77,6,4,4,6,0,0,0
"Act 3
(cat)",0,0,3,78,2,9,6,1,1,0
"Act 4
(deer)",2,0,5,5,77,2,2,6,1,0
"Act 5
(dog)",0,0,7,16,1,71,2,2,1,0
"Act 6
(frog)",0,0,3,3,2,2,89,1,0,0
"Act 7
(horse)",1,0,1,3,4,2,0,89,0,0
"Act 8
(ship)",7,0,1,1,0,0,0,0,90,1
"Act 9
(truck)",0,3,0,2,0,0,1,0,1,93
